paper,table,backbone,dataset,method,nfe_as_reported,guidance_as_reported,metric,value,higher_better,units,source_url
fsg,2,SDXL / DDIM,DrawBench,Resampling,50,see Appendix D.1,HPSv2,28.8,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Resampling,50,see Appendix D.1,Aesthetic,5.99,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Resampling,50,see Appendix D.1,CLIP,32.21,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Resampling,50,see Appendix D.1,ImageReward,82.65,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Resampling,50,see Appendix D.1,HPSv2,28.46,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Resampling,50,see Appendix D.1,Aesthetic,6.61,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Resampling,50,see Appendix D.1,CLIP,33.46,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,FSG (ours),50,see Appendix D.1,seconds,6.77,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,FSG (ours),50,see Appendix D.1,ImageReward,82.81,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,FSG (ours),50,see Appendix D.1,HPSv2,29.42,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,FSG (ours),50,see Appendix D.1,Aesthetic,6.01,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,FSG (ours),50,see Appendix D.1,CLIP,32.65,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,FSG (ours),50,see Appendix D.1,ImageReward,98.59,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,FSG (ours),50,see Appendix D.1,HPSv2,28.89,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,FSG (ours),50,see Appendix D.1,Aesthetic,6.6,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,FSG (ours),50,see Appendix D.1,CLIP,34.32,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,CFG×2,100,see Appendix D.1,seconds,12.51,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG×2,100,see Appendix D.1,ImageReward,77.71,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG×2,100,see Appendix D.1,HPSv2,29.36,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG×2,100,see Appendix D.1,Aesthetic,6.06,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG×2,100,see Appendix D.1,CLIP,32.44,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG×2,100,see Appendix D.1,ImageReward,96.06,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG×2,100,see Appendix D.1,HPSv2,28.84,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG×2,100,see Appendix D.1,Aesthetic,6.64,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG×2,100,see Appendix D.1,CLIP,34.13,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,CFG++×2,100,see Appendix D.1,seconds,12.6,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG++×2,100,see Appendix D.1,ImageReward,79.42,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG++×2,100,see Appendix D.1,HPSv2,29.42,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG++×2,100,see Appendix D.1,Aesthetic,6.01,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG++×2,100,see Appendix D.1,CLIP,32.61,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG++×2,100,see Appendix D.1,ImageReward,99.9,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG++×2,100,see Appendix D.1,HPSv2,29.0,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG++×2,100,see Appendix D.1,Aesthetic,6.61,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG++×2,100,see Appendix D.1,CLIP,34.18,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,Z-Sampling,100,see Appendix D.1,seconds,12.61,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Z-Sampling,100,see Appendix D.1,ImageReward,77.46,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Z-Sampling,100,see Appendix D.1,HPSv2,29.26,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Z-Sampling,100,see Appendix D.1,Aesthetic,6.03,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Z-Sampling,100,see Appendix D.1,CLIP,32.39,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Z-Sampling,100,see Appendix D.1,ImageReward,94.98,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Z-Sampling,100,see Appendix D.1,HPSv2,28.79,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Z-Sampling,100,see Appendix D.1,Aesthetic,6.61,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Z-Sampling,100,see Appendix D.1,CLIP,34.01,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,Resampling,100,see Appendix D.1,seconds,12.49,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Resampling,100,see Appendix D.1,ImageReward,77.26,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Resampling,100,see Appendix D.1,HPSv2,29.12,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Resampling,100,see Appendix D.1,Aesthetic,6.0,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Resampling,100,see Appendix D.1,CLIP,32.46,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Resampling,100,see Appendix D.1,ImageReward,79.36,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Resampling,100,see Appendix D.1,HPSv2,28.61,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Resampling,100,see Appendix D.1,Aesthetic,6.02,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Resampling,100,see Appendix D.1,CLIP,33.61,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,FSG (ours),100,see Appendix D.1,seconds,12.56,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,FSG (ours),100,see Appendix D.1,ImageReward,84.12,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,FSG (ours),100,see Appendix D.1,HPSv2,29.54,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,FSG (ours),100,see Appendix D.1,Aesthetic,6.02,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,FSG (ours),100,see Appendix D.1,CLIP,32.76,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,FSG (ours),100,see Appendix D.1,ImageReward,102.82,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,FSG (ours),100,see Appendix D.1,HPSv2,29.05,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,FSG (ours),100,see Appendix D.1,Aesthetic,6.66,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,FSG (ours),100,see Appendix D.1,CLIP,34.3,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,CFG×3,150,see Appendix D.1,seconds,18.47,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG×3,150,see Appendix D.1,ImageReward,83.56,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG×3,150,see Appendix D.1,HPSv2,29.51,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG×3,150,see Appendix D.1,Aesthetic,5.95,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG×3,150,see Appendix D.1,CLIP,32.66,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG×3,150,see Appendix D.1,ImageReward,102.13,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG×3,150,see Appendix D.1,HPSv2,29.04,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG×3,150,see Appendix D.1,Aesthetic,6.61,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG×3,150,see Appendix D.1,CLIP,34.28,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,CFG++×3,150,see Appendix D.1,seconds,18.47,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG++×3,150,see Appendix D.1,ImageReward,82.58,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG++×3,150,see Appendix D.1,HPSv2,29.45,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG++×3,150,see Appendix D.1,Aesthetic,5.93,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG++×3,150,see Appendix D.1,CLIP,32.66,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG++×3,150,see Appendix D.1,ImageReward,103.32,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG++×3,150,see Appendix D.1,HPSv2,29.05,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG++×3,150,see Appendix D.1,Aesthetic,6.57,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG++×3,150,see Appendix D.1,CLIP,34.2,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,Z-Sampling,150,see Appendix D.1,seconds,18.26,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Z-Sampling,150,see Appendix D.1,ImageReward,78.35,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Z-Sampling,150,see Appendix D.1,HPSv2,29.4,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Z-Sampling,150,see Appendix D.1,Aesthetic,6.06,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Z-Sampling,150,see Appendix D.1,CLIP,32.43,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Z-Sampling,150,see Appendix D.1,ImageReward,97.25,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Z-Sampling,150,see Appendix D.1,HPSv2,28.9,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Z-Sampling,150,see Appendix D.1,Aesthetic,6.67,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Z-Sampling,150,see Appendix D.1,CLIP,34.2,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,Resampling,150,see Appendix D.1,seconds,18.26,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Resampling,150,see Appendix D.1,ImageReward,79.98,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Resampling,150,see Appendix D.1,HPSv2,29.23,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Resampling,150,see Appendix D.1,Aesthetic,6.05,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Resampling,150,see Appendix D.1,CLIP,32.32,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Resampling,150,see Appendix D.1,ImageReward,87.48,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Resampling,150,see Appendix D.1,HPSv2,28.7,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Resampling,150,see Appendix D.1,Aesthetic,6.59,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Resampling,150,see Appendix D.1,CLIP,33.49,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,FSG (ours),150,see Appendix D.1,seconds,18.49,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,FSG (ours),150,see Appendix D.1,ImageReward,88.18,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,FSG (ours),150,see Appendix D.1,HPSv2,29.44,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,FSG (ours),150,see Appendix D.1,Aesthetic,5.96,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,FSG (ours),150,see Appendix D.1,CLIP,32.7,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,FSG (ours),150,see Appendix D.1,ImageReward,104.86,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,FSG (ours),150,see Appendix D.1,HPSv2,29.04,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,FSG (ours),150,see Appendix D.1,Aesthetic,6.65,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,FSG (ours),150,see Appendix D.1,CLIP,34.28,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",CFG(DDIM),60,1.5,FID,11.76,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",CFG(DDIM),60,1.5,IS,61.39,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",CFG(DDIM),120,1.5,FID,9.61,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",CFG(DDIM),120,1.5,IS,61.86,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",CFG(DDIM),60,2.0,FID,13.29,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",CFG(DDIM),60,2.0,IS,67.98,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",CFG(DDIM),120,2.0,FID,12.17,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",CFG(DDIM),120,2.0,IS,69.25,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",CFG(DDIM),60,2.5,FID,15.83,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",CFG(DDIM),60,2.5,IS,72.53,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",CFG(DDIM),120,2.5,FID,14.71,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",CFG(DDIM),120,2.5,IS,73.17,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",Z-sampling,60,1.5,FID,11.53,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",Z-sampling,60,1.5,IS,63.56,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
cfg_mp,1,DiT-XL/2-256,"ImageNet-1K, 50k generated",Z-sampling,120,1.5,FID,9.21,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2601.21892v2
